Country,Country.code,Region,GEO,Area,Decline,Population (2018),Land Area (KM2),Area (km2),Density (2018),Prop_sixtyfive,ForeignBornPopulation,Note,Unemploy rate,Note,RU_Class,Altitude,Proximity_Capital,Proximity_UrbanArea (> 1mil),Proximity_UrbanArea (km),Coast,Proximity_Coast,Proximity_Coast(km)
Belgium,BE,W,BE241,Arr. Halle-Vilvoorde,0,632717,947,949,633.9493136,17.63620639,8.993495218,,3.5,NUTS 2 level,1,15.90094837,0,0,0,0,5245.473048,5.245473048
Belgium,BE,W,BE242,Arr. Leuven,0,505829,1167,1169,418.4592973,17.94741355,6.696793039,,3.5,NUTS 2 level,2,15.61196581,0,0,0,0,9486.516133,9.486516133
Belgium,BE,W,BE235,Arr. Oudenaarde,0,123923,423,423,285.3427896,18.76830412,2.61007359,,3.8,NUTS 2 level,2,15.58823529,25.70957698,15762.00678,15.76200678,0,15720.92326,15.72092326
Belgium,BE,W,BE327,Arr. Tournai,0,147705,612,#N/A,237.630719,16.94079626,13.42937527,,11.7,NUTS 2 level,3,12.79349593,44.55265784,0,0,0,0,0
Belgium,BE,W,BE231,Arr. Aalst,0,289279,473,473,585.5665962,18.63677454,3.100343518,,3.8,NUTS 2 level,1,12.68577495,10.48388614,10483.88614,10.48388614,0,9786.695254,9.786695254
Belgium,BE,W,BE253,Arr. Ieper,0,106511,553,554,192.4936709,19.35942725,3.181197306,,3.2,NUTS 2 level,2,9.790697674,80.21587611,0,0,0,0,0
Belgium,BE,W,BE256,Arr. Roeselare,0,151962,274,274,534.4124088,19.57473635,2.29488875,,3.2,NUTS 2 level,2,8.866171004,67.60444684,4856.743503,4.856743503,0,0,0
Belgium,BE,W,BE324,Arr. Mouscron,0,76276,102,#N/A,716.3431373,17.78641521,14.57238656,,11.7,NUTS 2 level,1,8.26,65.35863891,0,0,0,0,0
Belgium,BE,W,BE254,Arr. Kortrijk,0,289349,406,406,697.091133,19.34321058,3.733030872,,3.2,NUTS 2 level,1,8.230958231,50.87456186,0,0,0,0,0
Belgium,BE,W,BE257,Arr. Tielt,0,92738,332,332,273.936747,18.89006529,1.945473796,,3.2,NUTS 2 level,2,7.256716418,56.90349339,15991.16976,15.99116976,0,0,0
Belgium,BE,W,BE213,Arr. Turnhout,0,459392,1345,1360,327.3881041,16.94453361,7.292840572,,5.7,NUTS 2 level,2,6.900589102,29.5384572,0,0,0,0,0
Belgium,BE,W,BE211,Arr. Antwerpen,0,1047030,960,1004,1046.877083,18.00220595,11.60776629,,5.7,NUTS 2 level,1,4.007976072,17.87786621,0,0,1,0,0
Belgium,BE,W,BE234,Arr. Gent,0,557050,940,950,568.5308511,17.66483238,6.606049012,,3.8,NUTS 2 level,2,3.619852165,30.84885306,22650.97108,22.65097108,0,0,0
Belgium,BE,W,BE252,Arr. Diksmuide,0,51449,364,365,137.4423077,19.32623404,0.972817166,,3.2,NUTS 2 level,2,3.10626703,85.46856602,5263.136686,5.263136686,0,0,0
Belgium,BE,W,BE251,Arr. Brugge,0,282020,652,665,426.2101227,21.57869497,2.889202179,,3.2,NUTS 2 level,2,2.674208145,68.76702736,24592.14158,24.59214158,1,0,0
Belgium,BE,W,BE212,Arr. Mechelen,0,343101,499,512,657.1703407,18.34915359,4.32264155,,5.7,NUTS 2 level,1,2.442495127,9.225323173,0,0,0,0,0
Belgium,BE,W,BE232,Arr. Dendermonde,0,200423,339,347,573.1858407,17.8496508,2.54722573,,3.8,NUTS 2 level,1,2.393586006,12.48011664,8835.277841,8.835277841,0,0,0
Belgium,BE,W,BE236,Arr. Sint-Niklaas,0,250825,461,480,520.1409978,17.69156451,4.403233834,,3.8,NUTS 2 level,1,2.320754717,24.43885718,0,0,1,0,0
Belgium,BE,W,BE233,Arr. Eeklo,0,84732,334,336,247.7275449,19.93378447,3.492687186,,3.8,NUTS 2 level,2,1.883928571,45.90201403,30692.86225,30.69286225,0,0,0
Belgium,BE,W,BE255,Arr. Oostende,0,156638,292,293,522.5034247,23.60357401,3.99645227,,3.2,NUTS 2 level,2,1.849315068,88.15660487,15632.1385,15.6321385,1,0,0
Belgium,BE,W,BE258,Arr. Veurne,0,61587,277,278,219.0216606,26.20447116,3.572961728,,3.2,NUTS 2 level,2,1.70212766,104.8663476,0,0,1,0,0
Bulgaria,BG,SE,BG424,Smolyan,1,107282,3190,3205,38.20909091,17.43336041,0.761289519,,12.9,NUTS 2 level,3,160.5010927,83.54374372,86686.53129,86.68653129,1,0,0
Bulgaria,BG,SE,BG415,Kyustendil,1,121099,3049,3053,44.89570351,22.78960018,1.445371232,,7.5,NUTS 2 level,2,146.822702,14.14088835,14140.88835,14.14088835,0,0,0
Bulgaria,BG,SE,BG413,Blagoevgrad,1,307882,6441,6451,50.26051855,15.97205061,1.849931731,,7.5,NUTS 2 level,2,145.9639919,26.64767621,26647.67621,26.64767621,1,0,0
Bulgaria,BG,SE,BG414,Pernik,1,122421,2380,2392,56.17478992,21.91912997,1.185157933,,7.5,NUTS 2 level,2,145.7074802,0,0,0,0,29587.57128,29.58757128
Bulgaria,BG,SE,BG412,Sofia,1,231563,7052,7063,35.11415201,20.19707219,1.122467014,,7.5,NUTS 2 level,3,145.1747312,0,0,0,0,0,0
Bulgaria,BG,SE,BG411,Sofia (stolitsa),0,1325429,1306,1342,989.1232772,15.58095518,3.077086064,,7.5,NUTS 2 level,1,139.4557621,0,0,0,0,26674.01049,26.67401049
Bulgaria,BG,SE,BG423,Pazardzhik,1,257965,4390,4456,62.81731207,17.55751211,1.439860061,,12.9,NUTS 2 level,2,138.2373907,21.36136194,21361.36194,21.36136194,0,0,0
Bulgaria,BG,SE,BG322,Gabrovo,1,110254,2018,2023,60.87314172,23.80700412,1.941313385,,12.8,NUTS 2 level,2,120.1669136,98.13034824,98130.34824,98.13034824,0,58506.91529,58.50691529
